Date,         SSRN
1980-11-01,   14.000
1980-12-01,    4.000
1981-01-01,   -4.000
1981-02-01,   -4.000
1981-03-01,   12.000
1981-04-01,   29.000
1981-05-01,  126.000
1981-06-01,  -10.000
1981-07-01,  222.000
1981-08-01,  -99.000
1981-09-01, -143.000
1981-10-01, -112.000
1981-11-01,  -15.000
1981-12-01,   -4.000
1982-01-01,   -5.000
1982-02-01,    4.000
1982-03-01,   25.000
1982-04-01,   50.000
1982-05-01,   -1.000
1982-06-01,  -54.000
1982-07-01, -146.000
1982-08-01,  -48.000
1982-09-01, -291.000
1982-10-01,   51.000
1982-11-01,  -13.000
1982-12-01,   -4.000
1983-01-01,   -5.000
1983-02-01,   -2.000
1983-03-01,  -10.000
1983-04-01,  -41.000
1983-05-01,   -2.000
1983-06-01,   15.000
1983-07-01, -249.000
1983-08-01, -406.000
1983-09-01, -234.000
1983-10-01, -190.000
1983-11-01,  -17.000
1983-12-01,   -4.000
1984-01-01,   -5.000
1984-02-01,   -8.000
1984-03-01,    5.000
1984-04-01,   -5.000
1984-05-01,   78.000
1984-06-01,  -42.000
1984-07-01, -256.000
1984-08-01, -702.000
1984-09-01,  -97.000
1984-10-01,  -51.000
1984-11-01,   21.000
1984-12-01,   -4.000
1985-01-01,   -4.000
1985-02-01,   -7.000
1985-03-01,   14.000
1985-04-01,  -45.000
1985-05-01, -113.000
1985-06-01,  -32.000
1985-07-01,   19.000
1985-08-01,  -46.000
1985-09-01,  -38.000
1985-10-01, -148.000
1985-11-01,  -10.000
1985-12-01,    0.000
1986-01-01,   -5.000
1986-02-01,   -3.000
1986-03-01,  -11.000
1986-04-01,  -23.000
1986-05-01,    9.000
1986-06-01,  -97.000
1986-07-01,  -71.000
1986-08-01, -272.000
1986-09-01,  291.000
1986-10-01,  -53.000
1986-11-01,   -7.000
1986-12-01,   -4.000
1987-01-01,   -5.000
1987-02-01,   -7.000
1987-03-01,   -1.000
1987-04-01,  -76.000
1987-05-01,  -86.000
1987-06-01,   -8.000
1987-07-01, -214.000
1987-08-01, -206.000
1987-09-01,  -42.000
1987-10-01,   10.000
1987-11-01,  -19.000
1987-12-01,   -4.000
1988-01-01,   -4.000
1988-02-01,   -2.000
1988-03-01,  -12.000
1988-04-01,   33.000
1988-05-01, -106.000
1988-06-01,   37.000
1988-07-01,  100.000
1988-08-01,  381.000
1988-09-01,  171.000
1988-10-01, -134.000
1988-11-01,    4.000
1988-12-01,   -4.000
1989-01-01,   -5.000
1989-02-01,   -1.000
1989-03-01,   14.000
1989-04-01,  -49.000
1989-05-01,  -86.000
1989-06-01,   43.000
1989-07-01,   21.000
1989-08-01,  369.000
1989-09-01, -128.000
1989-10-01,   38.000
1989-11-01,  -11.000
1989-12-01,    9.000
1990-01-01,    0.000
1990-02-01,   -6.000
1990-03-01,  -23.000
1990-04-01,  -11.000
1990-05-01,   19.000
1990-06-01, -133.000
1990-07-01,   82.000
1990-08-01, -330.000
1990-09-01, -199.000
1990-10-01,  -80.000
1990-11-01,   -6.000
1990-12-01,    3.000
1991-01-01,   -4.000
1991-02-01,    4.000
1991-03-01,   18.000
1991-04-01,   29.000
1991-05-01,  258.000
1991-06-01,  -29.000
1991-07-01,   97.000
1991-08-01,   75.000
1991-09-01, -320.000
1991-10-01,  125.000
1991-11-01,  -20.000
1991-12-01,   -2.000
1992-01-01,   30.000
1992-02-01,   12.000
1992-03-01,   -8.000
1992-04-01,    4.000
1992-05-01,  170.000
1992-06-01,  -21.000
1992-07-01,   71.000
1992-08-01,  -62.000
1992-09-01,  -71.000
1992-10-01,  -54.000
1992-11-01,   49.000
1992-12-01,   -3.000
1993-01-01,   -4.000
1993-02-01,    7.000
1993-03-01,   69.000
1993-04-01,    5.000
1993-05-01,  -71.000
1993-06-01,    2.000
1993-07-01,  149.000
1993-08-01, -142.000
1993-09-01,  -32.000
1993-10-01,  -60.000
1993-11-01,   32.000
1993-12-01,   -3.000
1994-01-01,   -6.000
1994-02-01,   -4.000
1994-03-01,   -1.000
1994-04-01,   -9.000
1994-05-01,  -16.000
1994-06-01,    8.000
1994-07-01,   49.000
1994-08-01,  409.000
1994-09-01,  446.000
1994-10-01,  332.000
1994-11-01,   19.000
1994-12-01,   -4.000
1995-01-01,   -6.000
1995-02-01,   -4.000
